zip,city,county,population
6390,Fishers Island,Suffolk,61
10001,New York City,New York,25026
10002,New York City,New York,74363
10003,New York City,New York,54671
10004,New York City,New York,3310
10005,New York City,New York,8664
10006,New York City,New York,3260
10007,New York City,New York,7566
10009,New York City,New York,58267
10010,New York City,New York,34763
10011,New York City,New York,50228
10012,New York City,New York,23034
10013,New York City,New York,28657
10014,New York City,New York,29071
10016,New York City,New York,52912
10017,New York City,New York,16065
10018,New York City,New York,8135
10019,New York City,New York,45521
10020,New York City,New York,0
10021,New York City,New York,42253
10022,New York City,New York,31574
10023,New York City,New York,62228
10024,New York City,New York,60714
10025,New York City,New York,92162
10026,New York City,New York,38937
10027,New York City,New York,64728
10028,New York City,New York,47962
10029,New York City,New York,74617
10030,New York City,New York,30996
10031,New York City,New York,60280
10032,New York City,New York,59527
10033,New York City,New York,58648
10034,New York City,New York,41933
10035,New York City,New York,36999
10036,New York City,New York,28231
10037,New York City,New York,19177
10038,New York City,New York,24205
10039,New York City,New York,27090
10040,New York City,New York,45197
10044,New York City,New York,12770
10069,New York City,New York,6504
10103,New York City,New York,0
10110,New York City,New York,0
10111,New York City,New York,0
10112,New York City,New York,0
10115,New York City,New York,0
10119,New York City,New York,0
10128,New York City,New York,57993
10152,New York City,New York,0
10153,New York City,New York,0
10154,New York City,New York,0
10162,New York City,New York,1240
10165,New York City,New York,0
10167,New York City,New York,0
10168,New York City,New York,0
10169,New York City,New York,0
10170,New York City,New York,0
10171,New York City,New York,0
10172,New York City,New York,0
10173,New York City,New York,0
10174,New York City,New York,0
10177,New York City,New York,0
10199,New York City,New York,0
10271,New York City,New York,0
10278,New York City,New York,0
10279,New York City,New York,96
10280,New York City,New York,9372
10282,New York City,New York,6086
10301,Staten Island,Richmond,38001
10302,Staten Island,Richmond,17942
10303,Staten Island,Richmond,27164
10304,Staten Island,Richmond,42133
10305,Staten Island,Richmond,42968
10306,Staten Island,Richmond,54318
10307,Staten Island,Richmond,15053
10308,Staten Island,Richmond,28901
10309,Staten Island,Richmond,33896
10310,Staten Island,Richmond,24168
10311,Staten Island,Richmond,0
10312,Staten Island,Richmond,61114
10314,Staten Island,Richmond,89938
10451,Bronx,Bronx,49423
10452,Bronx,Bronx,74379
10453,Bronx,Bronx,78858
10454,Bronx,Bronx,37807
10455,Bronx,Bronx,40300
10456,Bronx,Bronx,90479
10457,Bronx,Bronx,74679
10458,Bronx,Bronx,85893
10459,Bronx,Bronx,48391
10460,Bronx,Bronx,57514
10461,Bronx,Bronx,51081
10462,Bronx,Bronx,75441
10463,Bronx,Bronx,70236
10464,Bronx,Bronx,4322
10465,Bronx,Bronx,45066
10466,Bronx,Bronx,74519
10467,Bronx,Bronx,100867
10468,Bronx,Bronx,78778
10469,Bronx,Bronx,72550
10470,Bronx,Bronx,15500
10471,Bronx,Bronx,22577
10472,Bronx,Bronx,67989
10473,Bronx,Bronx,59627
10474,Bronx,Bronx,11579
10475,Bronx,Bronx,43791
10501,Amawalk,Westchester,1237
10502,Ardsley,Westchester,5351
10503,Ardsley On Hudson,Westchester,106
10504,Armonk,Westchester,8053
10505,Baldwin Place,Westchester,1336
10506,Bedford,Westchester,5555
10507,Bedford Hills,Westchester,7152
10509,Brewster,Putnam,20230
10510,Briarcliff Manor,Westchester,10300
10511,Buchanan,Westchester,2300
10512,Carmel,Putnam,24619
10514,Chappaqua,Westchester,12543
10516,Cold Spring,Putnam,5449
10517,Crompond,Westchester,497
10518,Cross River,Westchester,1041
10519,Croton Falls,Westchester,305
10520,Croton On Hudson,Westchester,12885
10522,Dobbs Ferry,Westchester,11052
10523,Elmsford,Westchester,9415
10524,Garrison,Putnam,4317
10526,Goldens Bridge,Westchester,1860
10527,Granite Springs,Westchester,829
10528,Harrison,Westchester,13395
10530,Hartsdale,Westchester,12925
10532,Hawthorne,Westchester,4739
10533,Irvington,Westchester,7463
10535,Jefferson Valley,Westchester,254
10536,Katonah,Westchester,11002
10537,Lake Peekskill,Putnam,2769
10538,Larchmont,Westchester,16151
10541,Mahopac,Putnam,26678
10543,Mamaroneck,Westchester,20999
10545,Maryknoll,Westchester,115
10546,Millwood,Westchester,1085
10547,Mohegan Lake,Westchester,8034
10548,Montrose,Westchester,4087
10549,Mount Kisco,Westchester,16121
10550,Mount Vernon,Westchester,36382
10552,Mount Vernon,Westchester,21342
10553,Mount Vernon,Westchester,9747
10560,North Salem,Westchester,4814
10562,Ossining,Westchester,31847
10566,Peekskill,Westchester,24111
10567,Cortlandt Manor,Westchester,20094
10570,Pleasantville,Westchester,12780
10573,Port Chester,Westchester,38749
10576,Pound Ridge,Westchester,5036
10577,Purchase,Westchester,6387
10578,Purdys,Westchester,1386
10579,Putnam Valley,Putnam,8250
10580,Rye,Westchester,17185
10583,Scarsdale,Westchester,41087
10588,Shrub Oak,Westchester,3102
10589,Somers,Westchester,8080
10590,South Salem,Westchester,7208
10591,Tarrytown,Westchester,23059
10594,Thornwood,Westchester,5587
10595,Valhalla,Westchester,8439
10596,Verplanck,Westchester,1051
10597,Waccabuc,Westchester,699
10598,Yorktown Heights,Westchester,28708
10601,White Plains,Westchester,10256
10603,White Plains,Westchester,18862
10604,West Harrison,Westchester,11132
10605,White Plains,Westchester,19849
10606,White Plains,Westchester,16199
10607,White Plains,Westchester,7162
10701,Yonkers,Westchester,61367
10703,Yonkers,Westchester,22636
10704,Yonkers,Westchester,31110
10705,Yonkers,Westchester,39848
10706,Hastings On Hudson,Westchester,8622
10707,Tuckahoe,Westchester,9713
10708,Bronxville,Westchester,22212
10709,Eastchester,Westchester,9369
10710,Yonkers,Westchester,25104
10801,New Rochelle,Westchester,40445
10803,Pelham,Westchester,12492
10804,New Rochelle,Westchester,14365
10805,New Rochelle,Westchester,21331
10901,Suffern,Rockland,23860
10910,Arden,Orange,0
10911,Bear Mountain,Rockland,0
10913,Blauvelt,Rockland,5294
10914,Blooming Grove,Orange,391
10915,Bullville,Orange,79
10916,Campbell Hall,Orange,4582
10917,Central Valley,Orange,1650
10918,Chester,Orange,12286
10919,Circleville,Orange,1286
10920,Congers,Rockland,8919
10921,Florida,Orange,3812
10922,Fort Montgomery,Orange,1778
10923,Garnerville,Rockland,7753
10924,Goshen,Orange,13538
10925,Greenwood Lake,Orange,3886
10926,Harriman,Orange,3482
10927,Haverstraw,Rockland,12076
10928,Highland Falls,Orange,4132
10930,Highland Mills,Orange,9789
10931,Hillburn,Rockland,1031
10932,Howells,Orange,47
10933,Johnson,Orange,417
10940,Middletown,Orange,49430
10941,Middletown,Orange,13384
10950,Monroe,Orange,53013
10952,Monsey,Rockland,43374
10953,Mountainville,Orange,112
10954,Nanuet,Rockland,25870
10956,New City,Rockland,30697
10958,New Hampton,Orange,3236
10960,Nyack,Rockland,15757
10962,Orangeburg,Rockland,5927
10963,Otisville,Orange,4367
10964,Palisades,Rockland,1506
10965,Pearl River,Rockland,15493
10968,Piermont,Rockland,2466
10969,Pine Island,Orange,1098
10970,Pomona,Rockland,10433
10973,Slate Hill,Orange,2510
10974,Sloatsburg,Rockland,3189
10975,Southfields,Orange,91
10976,Sparkill,Rockland,2300
10977,Spring Valley,Rockland,64677
10979,Sterling Forest,Orange,36
10980,Stony Point,Rockland,13923
10983,Tappan,Rockland,5597
10984,Thiells,Rockland,2661
10985,Thompson Ridge,Orange,149
10986,Tomkins Cove,Rockland,1836
10987,Tuxedo Park,Orange,3499
10988,Unionville,Orange,596
10989,Valley Cottage,Rockland,8415
10990,Warwick,Orange,20735
10992,Washingtonville,Orange,8830
10993,West Haverstraw,Rockland,5044
10994,West Nyack,Rockland,7115
10996,West Point,Orange,6342
10998,Westtown,Orange,3428
11001,Floral Park,Nassau,26542
11003,Elmont,Nassau,44712
11004,Glen Oaks,Queens,15297
11005,Floral Park,Queens,2249
11010,Franklin Square,Nassau,25318
11020,Great Neck,Nassau,6325
11021,Great Neck,Nassau,18181
11023,Great Neck,Nassau,9479
11024,Great Neck,Nassau,7869
11030,Manhasset,Nassau,18450
11040,New Hyde Park,Nassau,41523
11042,New Hyde Park,Nassau,475
11050,Port Washington,Nassau,30699
11096,Inwood,Nassau,8155
11101,Long Island City,Queens,32537
11102,Astoria,Queens,28359
11103,Astoria,Queens,35419
11104,Sunnyside,Queens,25037
11105,Astoria,Queens,37452
11106,Astoria,Queens,37094
11109,Long Island City,Queens,6127
11201,Brooklyn,Kings,64798
11203,Brooklyn,Kings,77589
11204,Brooklyn,Kings,75840
11205,Brooklyn,Kings,47866
11206,Brooklyn,Kings,87599
11207,Brooklyn,Kings,90867
11208,Brooklyn,Kings,102626
11209,Brooklyn,Kings,68368
11210,Brooklyn,Kings,62423
11211,Brooklyn,Kings,104561
11212,Brooklyn,Kings,74037
11213,Brooklyn,Kings,67382
11214,Brooklyn,Kings,90372
11215,Brooklyn,Kings,69995
11216,Brooklyn,Kings,59567
11217,Brooklyn,Kings,42461
11218,Brooklyn,Kings,73280
11219,Brooklyn,Kings,87812
11220,Brooklyn,Kings,90657
11221,Brooklyn,Kings,85582
11222,Brooklyn,Kings,36710
11223,Brooklyn,Kings,80500
11224,Brooklyn,Kings,45587
11225,Brooklyn,Kings,56072
11226,Brooklyn,Kings,96332
11228,Brooklyn,Kings,43878
11229,Brooklyn,Kings,81909
11230,Brooklyn,Kings,87188
11231,Brooklyn,Kings,37796
11232,Brooklyn,Kings,26501
11233,Brooklyn,Kings,79796
11234,Brooklyn,Kings,90372
11235,Brooklyn,Kings,76921
11236,Brooklyn,Kings,98821
11237,Brooklyn,Kings,46772
11238,Brooklyn,Kings,55102
11239,Brooklyn,Kings,12832
11351,Flushing,Queens,0
11354,Flushing,Queens,52351
11355,Flushing,Queens,81358
11356,College Point,Queens,24178
11357,Whitestone,Queens,40118
11358,Flushing,Queens,36665
11359,Bayside,Queens,0
11360,Bayside,Queens,18892
11361,Bayside,Queens,28531
11362,Little Neck,Queens,18694
11363,Little Neck,Queens,6834
11364,Oakland Gardens,Queens,35866
11365,Fresh Meadows,Queens,43730
11366,Fresh Meadows,Queens,14109
11367,Flushing,Queens,40141
11368,Corona,Queens,108661
11369,East Elmhurst,Queens,30693
11370,East Elmhurst,Queens,29366
11371,Flushing,Queens,0
11372,Jackson Heights,Queens,63107
11373,Elmhurst,Queens,96495
11374,Rego Park,Queens,43173
11375,Forest Hills,Queens,72615
11377,Woodside,Queens,82021
11378,Maspeth,Queens,39033
11379,Middle Village,Queens,37780
11385,Ridgewood,Queens,105025
11411,Cambria Heights,Queens,20473
11412,Saint Albans,Queens,37987
11413,Springfield Gardens,Queens,41810
11414,Howard Beach,Queens,27672
11415,Kew Gardens,Queens,18464
11416,Ozone Park,Queens,26087
11417,Ozone Park,Queens,31156
11418,Richmond Hill,Queens,37666
11419,South Richmond Hill,Queens,47955
11420,South Ozone Park,Queens,47266
11421,Woodhaven,Queens,39654
11422,Rosedale,Queens,32786
11423,Hollis,Queens,29532
11424,Jamaica,Queens,40
11425,Jamaica,Queens,0
11426,Bellerose,Queens,20222
11427,Queens Village,Queens,25096
11428,Queens Village,Queens,19830
11429,Queens Village,Queens,27808
11430,Jamaica,Queens,220
11432,Jamaica,Queens,64282
11433,Jamaica,Queens,36929
11434,Jamaica,Queens,62590
11435,Jamaica,Queens,59392
11436,Jamaica,Queens,18955
11451,Jamaica,Queens,0
11501,Mineola,Nassau,19675
11507,Albertson,Nassau,7051
11509,Atlantic Beach,Nassau,1790
11510,Baldwin,Nassau,33949
11514,Carle Place,Nassau,4644
11516,Cedarhurst,Nassau,7476
11518,East Rockaway,Nassau,9819
11520,Freeport,Nassau,43451
11530,Garden City,Nassau,27669
11542,Glen Cove,Nassau,27666
11545,Glen Head,Nassau,12686
11547,Glenwood Landing,Nassau,625
11548,Greenvale,Nassau,2491
11549,Hempstead,Nassau,2728
11550,Hempstead,Nassau,57073
11552,West Hempstead,Nassau,25169
11553,Uniondale,Nassau,26938
11554,East Meadow,Nassau,37992
11556,Uniondale,Nassau,0
11557,Hewlett,Nassau,7950
11558,Island Park,Nassau,8435
11559,Lawrence,Nassau,8265
11560,Locust Valley,Nassau,6850
11561,Long Beach,Nassau,37759
11563,Lynbrook,Nassau,21537
11565,Malverne,Nassau,8921
11566,Merrick,Nassau,33626
11568,Old Westbury,Nassau,4470
11569,Point Lookout,Nassau,1175
11570,Rockville Centre,Nassau,27240
11572,Oceanside,Nassau,28673
11575,Roosevelt,Nassau,16799
11576,Roslyn,Nassau,12606
11577,Roslyn Heights,Nassau,12120
11579,Sea Cliff,Nassau,5183
11580,Valley Stream,Nassau,41930
11581,Valley Stream,Nassau,21847
11590,Westbury,Nassau,47468
11596,Williston Park,Nassau,10276
11598,Woodmere,Nassau,13977
11691,Far Rockaway,Queens,68454
11692,Arverne,Queens,22394
11693,Far Rockaway,Queens,13029
11694,Rockaway Park,Queens,21258
11697,Breezy Point,Queens,3527
11701,Amityville,Suffolk,27264
11702,Babylon,Suffolk,13963
11703,North Babylon,Suffolk,16820
11704,West Babylon,Suffolk,39960
11705,Bayport,Suffolk,8033
11706,Bay Shore,Suffolk,67484
11709,Bayville,Nassau,6720
11710,Bellmore,Nassau,35473
11713,Bellport,Suffolk,8247
11714,Bethpage,Nassau,22769
11715,Blue Point,Suffolk,4287
11716,Bohemia,Suffolk,9748
11717,Brentwood,Suffolk,62888
11718,Brightwaters,Suffolk,3070
11719,Brookhaven,Suffolk,3209
11720,Centereach,Suffolk,28773
11721,Centerport,Suffolk,6258
11722,Central Islip,Suffolk,34139
11724,Cold Spring Harbor,Suffolk,3089
11725,Commack,Suffolk,29229
11726,Copiague,Suffolk,21012
11727,Coram,Suffolk,29262
11729,Deer Park,Suffolk,25597
11730,East Islip,Suffolk,13335
11731,East Northport,Suffolk,30951
11732,East Norwich,Nassau,3505
11733,East Setauket,Suffolk,17000
11735,Farmingdale,Nassau,33299
11738,Farmingville,Suffolk,19364
11739,Great River,Suffolk,1307
11740,Greenlawn,Suffolk,9321
11741,Holbrook,Suffolk,26245
11742,Holtsville,Suffolk,11968
11743,Huntington,Suffolk,42636
11746,Huntington Station,Suffolk,66518
11747,Melville,Suffolk,18795
11749,Islandia,Suffolk,3315
11751,Islip,Suffolk,13399
11752,Islip Terrace,Suffolk,8821
11753,Jericho,Nassau,13092
11754,Kings Park,Suffolk,17861
11755,Lake Grove,Suffolk,12514
11756,Levittown,Nassau,42856
11757,Lindenhurst,Suffolk,44130
11758,Massapequa,Nassau,53034
11762,Massapequa Park,Nassau,22263
11763,Medford,Suffolk,28769
11764,Miller Place,Suffolk,13633
11765,Mill Neck,Nassau,871
11766,Mount Sinai,Suffolk,11018
11767,Nesconset,Suffolk,15051
11768,Northport,Suffolk,20903
11769,Oakdale,Suffolk,8299
11770,Ocean Beach,Suffolk,65
11771,Oyster Bay,Nassau,9517
11772,Patchogue,Suffolk,46311
11776,Port Jefferson Station,Suffolk,23578
11777,Port Jefferson,Suffolk,9156
11778,Rocky Point,Suffolk,11855
11779,Ronkonkoma,Suffolk,38091
11780,Saint James,Suffolk,15934
11782,Sayville,Suffolk,15057
11783,Seaford,Nassau,21285
11784,Selden,Suffolk,25014
11786,Shoreham,Suffolk,6225
11787,Smithtown,Suffolk,33837
11788,Hauppauge,Suffolk,16693
11789,Sound Beach,Suffolk,7496
11790,Stony Brook,Suffolk,16099
11791,Syosset,Nassau,25776
11792,Wading River,Suffolk,8413
11793,Wantagh,Nassau,30601
11794,Stony Brook,Suffolk,3363
11795,West Islip,Suffolk,25062
11796,West Sayville,Suffolk,4112
11797,Woodbury,Nassau,8998
11798,Wyandanch,Suffolk,15636
11801,Hicksville,Nassau,40179
11803,Plainview,Nassau,29208
11804,Old Bethpage,Nassau,4639
11901,Riverhead,Suffolk,28760
11930,Amagansett,Suffolk,618
11931,Aquebogue,Suffolk,84
11932,Bridgehampton,Suffolk,1099
11933,Calverton,Suffolk,6475
11934,Center Moriches,Suffolk,7357
11935,Cutchogue,Suffolk,3008
11937,East Hampton,Suffolk,16672
11939,East Marion,Suffolk,1144
11940,East Moriches,Suffolk,4963
11941,Eastport,Suffolk,1770
11942,East Quogue,Suffolk,5053
11944,Greenport,Suffolk,4144
11946,Hampton Bays,Suffolk,15058
11947,Jamesport,Suffolk,423
11948,Laurel,Suffolk,670
11949,Manorville,Suffolk,13457
11950,Mastic,Suffolk,16130
11951,Mastic Beach,Suffolk,14756
11952,Mattituck,Suffolk,5031
11953,Middle Island,Suffolk,14301
11954,Montauk,Suffolk,3563
11955,Moriches,Suffolk,3149
11956,New Suffolk,Suffolk,353
11957,Orient,Suffolk,1023
11958,Peconic,Suffolk,683
11959,Quogue,Suffolk,571
11960,Remsenburg,Suffolk,721
11961,Ridge,Suffolk,13701
11962,Sagaponack,Suffolk,296
11963,Sag Harbor,Suffolk,6966
11964,Shelter Island,Suffolk,2287
11965,Shelter Island Heights,Suffolk,456
11967,Shirley,Suffolk,29130
11968,Southampton,Suffolk,10778
11970,South Jamesport,Suffolk,391
11971,Southold,Suffolk,6073
11972,Speonk,Suffolk,983
11973,Upton,Suffolk,37
11975,Wainscott,Suffolk,170
11976,Water Mill,Suffolk,1847
11977,Westhampton,Suffolk,2629
11978,Westhampton Beach,Suffolk,2981
11980,Yaphank,Suffolk,5966
12007,Alcove,Albany,10
12008,Alplaus,Schenectady,542
12009,Altamont,Albany,7690
12010,Amsterdam,Montgomery,27556
12015,Athens,Greene,3347
12017,Austerlitz,Columbia,445
12018,Averill Park,Rensselaer,7112
12019,Ballston Lake,Saratoga,14244
12020,Ballston Spa,Saratoga,33235
12022,Berlin,Rensselaer,652
12023,Berne,Albany,2376
12024,Brainard,Rensselaer,0
12025,Broadalbin,Fulton,5331
12027,Burnt Hills,Saratoga,3996
12028,Buskirk,Rensselaer,707
12029,Canaan,Columbia,1082
12031,Carlisle,Schoharie,174
12032,Caroga Lake,Fulton,753
12033,Castleton On Hudson,Rensselaer,8152
12035,Central Bridge,Schoharie,579
12036,Charlotteville,Schoharie,252
12037,Chatham,Columbia,4489
12040,Cherry Plain,Rensselaer,87
12041,Clarksville,Albany,681
12042,Climax,Greene,233
12043,Cobleskill,Schoharie,8202
12045,Coeymans,Albany,449
12046,Coeymans Hollow,Albany,1103
12047,Cohoes,Albany,21453
12051,Coxsackie,Greene,6769
12052,Cropseyville,Rensselaer,1921
12053,Delanson,Schenectady,4611
12054,Delmar,Albany,16948
12056,Duanesburg,Schenectady,2543
12057,Eagle Bridge,Washington,2176
12058,Earlton,Greene,971
12059,East Berne,Albany,1719
12060,East Chatham,Columbia,1687
12061,East Greenbush,Rensselaer,9725
12062,East Nassau,Rensselaer,1601
12063,East Schodack,Rensselaer,770
12064,East Worcester,Otsego,307
12065,Clifton Park,Saratoga,42432
12066,Esperance,Montgomery,1837
12067,Feura Bush,Albany,1554
12068,Fonda,Montgomery,3029
12069,Fort Hunter,Montgomery,294
12070,Fort Johnson,Montgomery,1974
12071,Fultonham,Schoharie,319
12072,Fultonville,Montgomery,3065
12074,Galway,Saratoga,2957
12075,Ghent,Columbia,2530
12076,Gilboa,Schoharie,1188
12077,Glenmont,Albany,6488
