zip,city,county,population
13361,Jordanville,Herkimer,872
13362,Knoxboro,Oneida,129
13363,Lee Center,Oneida,2358
13364,Leonardsville,Madison,222
13365,Little Falls,Herkimer,8472
13367,Lowville,Lewis,8893
13368,Lyons Falls,Lewis,1184
13402,Madison,Madison,1441
13403,Marcy,Oneida,7485
13404,Martinsburg,Lewis,130
13406,Middleville,Herkimer,865
13407,Mohawk,Herkimer,4830
13408,Morrisville,Madison,3584
13409,Munnsville,Madison,2255
13410,Nelliston,Montgomery,350
13411,New Berlin,Chenango,3092
13413,New Hartford,Oneida,15750
13415,New Lisbon,Otsego,25
13416,Newport,Herkimer,2079
13417,New York Mills,Oneida,3066
13418,North Brookfield,Madison,268
13420,Old Forge,Herkimer,1064
13421,Oneida,Madison,13230
13424,Oriskany,Oneida,2375
13425,Oriskany Falls,Oneida,2143
13428,Palatine Bridge,Montgomery,1668
13431,Poland,Herkimer,1902
13433,Port Leyden,Lewis,1657
13435,Prospect,Oneida,347
13436,Raquette Lake,Hamilton,42
13437,Redfield,Oswego,326
13438,Remsen,Oneida,2944
13439,Richfield Springs,Otsego,3720
13440,Rome,Oneida,41342
13441,Rome,Oneida,197
13450,Roseboom,Otsego,85
13452,Saint Johnsville,Montgomery,4671
13454,Salisbury Center,Herkimer,800
13456,Sauquoit,Oneida,4039
13459,Sharon Springs,Schoharie,2343
13460,Sherburne,Chenango,4122
13461,Sherrill,Oneida,2987
13464,Smyrna,Chenango,1368
13468,Springfield Center,Otsego,478
13469,Stittville,Oneida,1238
13470,Stratford,Fulton,665
13471,Taberg,Oneida,3045
13472,Thendara,Herkimer,79
13473,Turin,Lewis,958
13475,Van Hornesville,Herkimer,13
13476,Vernon,Oneida,3617
13477,Vernon Center,Oneida,1029
13478,Verona,Oneida,3257
13480,Waterville,Oneida,3235
13483,Westdale,Oneida,317
13484,West Eaton,Madison,174
13485,West Edmeston,Otsego,1231
13486,Westernville,Oneida,701
13488,Westford,Otsego,103
13489,West Leyden,Lewis,538
13490,Westmoreland,Oneida,1606
13491,West Winfield,Herkimer,3330
13492,Whitesboro,Oneida,11118
13493,Williamstown,Oswego,2318
13494,Woodgate,Oneida,240
13495,Yorkville,Oneida,2035
13501,Utica,Oneida,37132
13502,Utica,Oneida,32437
13601,Watertown,Jefferson,36982
13602,Fort Drum,Jefferson,4383
13603,Watertown,Jefferson,9274
13605,Adams,Jefferson,5173
13606,Adams Center,Jefferson,2456
13607,Alexandria Bay,Jefferson,1445
13608,Antwerp,Jefferson,1698
13612,Black River,Jefferson,2233
13613,Brasher Falls,St. Lawrence,2698
13614,Brier Hill,St. Lawrence,355
13615,Brownville,Jefferson,905
13616,Calcium,Jefferson,2202
13617,Canton,St. Lawrence,11556
13618,Cape Vincent,Jefferson,1525
13619,Carthage,Jefferson,10439
13620,Castorland,Lewis,2592
13621,Chase Mills,St.Lawrence,494
13622,Chaumont,Jefferson,2138
13623,Chippewa Bay,St. Lawrence,13
13624,Clayton,Jefferson,5297
13625,Colton,St. Lawrence,1470
13626,Copenhagen,Lewis,2271
13628,Deferiet,Jefferson,211
13630,De Kalb Junction,St. Lawrence,1515
13633,De Peyster,St. Lawrence,249
13634,Dexter,Jefferson,3706
13635,Edwards,St. Lawrence,1108
13636,Ellisburg,Jefferson,237
13637,Evans Mills,Jefferson,3720
13638,Felts Mills,Jefferson,401
13639,Fine,St. Lawrence,172
13640,Wellesley Island,Jefferson,272
13641,Fishers Landing,Jefferson,38
13642,Gouverneur,St. Lawrence,10055
13643,Great Bend,Jefferson,30
13646,Hammond,St. Lawrence,1879
13647,Hannawa Falls,St. Lawrence,89
13648,Harrisville,Lewis,2056
13650,Henderson,Jefferson,1559
13651,Henderson Harbor,Jefferson,112
13652,Hermon,St. Lawrence,1544
13654,Heuvelton,St. Lawrence,2603
13655,Hogansburg,Franklin,3418
13656,La Fargeville,Jefferson,2834
13658,Lisbon,St. Lawrence,2414
13659,Lorraine,Jefferson,382
13660,Madrid,St. Lawrence,1641
13661,Mannsville,Jefferson,1609
13662,Massena,St. Lawrence,16179
13664,Morristown,St. Lawrence,348
13665,Natural Bridge,Jefferson,626
13666,Newton Falls,St. Lawrence,240
13667,Norfolk,St. Lawrence,2781
13668,Norwood,St. Lawrence,3196
13669,Ogdensburg,St. Lawrence,15870
13670,Oswegatchie,St. Lawrence,476
13672,Parishville,St. Lawrence,439
13673,Philadelphia,Jefferson,2231
13674,Pierrepont Manor,Jefferson,191
13675,Plessis,Jefferson,250
13676,Potsdam,St. Lawrence,16754
13677,Pyrites,St. Lawrence,6
13678,Raymondville,St. Lawrence,330
13679,Redwood,Jefferson,1686
13680,Rensselaer Falls,St. Lawrence,1643
13681,Richville,St. Lawrence,1149
13682,Rodman,Jefferson,654
13684,Russell,St. Lawrence,842
13685,Sackets Harbor,Jefferson,2238
13687,South Colton,St. Lawrence,458
13690,Star Lake,St. Lawrence,569
13691,Theresa,Jefferson,3016
13692,Thousand Island Park,Jefferson,155
13693,Three Mile Bay,Jefferson,408
13694,Waddington,St. Lawrence,1328
13695,Wanakena,St. Lawrence,152
13696,West Stockholm,St. Lawrence,87
13697,Winthrop,St. Lawrence,1776
13730,Afton,Chenango,2630
13731,Andes,Delaware,946
13732,Apalachin,Tioga,7602
13733,Bainbridge,Chenango,5112
13734,Barton,Tioga,1828
13736,Berkshire,Tioga,2086
13739,Bloomville,Delaware,783
13740,Bovina Center,Delaware,483
13743,Candor,Tioga,3630
13744,Castle Creek,Broome,1307
13746,Chenango Forks,Broome,1578
13748,Conklin,Broome,3766
13750,Davenport,Delaware,788
13751,Davenport Center,Delaware,189
13752,De Lancey,Delaware,886
13753,Delhi,Delaware,5511
13754,Deposit,Broome,2883
13755,Downsville,Delaware,982
13756,East Branch,Delaware,431
13757,East Meredith,Delaware,1396
13760,Endicott,Broome,42103
13774,Fishs Eddy,Delaware,198
13775,Franklin,Delaware,1780
13776,Gilbertsville,Otsego,507
13777,Glen Aubrey,Broome,433
13778,Greene,Chenango,5458
13780,Guilford,Chenango,708
13782,Hamden,Delaware,824
13783,Hancock,Delaware,2659
13784,Harford,Cortland,215
13786,Harpersfield,Delaware,464
13787,Harpursville,Broome,3039
13788,Hobart,Delaware,899
13790,Johnson City,Broome,17763
13794,Killawog,Broome,75
13795,Kirkwood,Broome,3093
13796,Laurens,Otsego,1063
13797,Lisle,Broome,2262
13801,Mc Donough,Chenango,1457
13802,Maine,Broome,964
13803,Marathon,Cortland,4131
13804,Masonville,Delaware,332
13806,Meridale,Delaware,224
13807,Milford,Otsego,1214
13808,Morris,Otsego,1524
13809,Mount Upton,Chenango,1761
13810,Mount Vision,Otsego,1362
13811,Newark Valley,Tioga,3988
13812,Nichols,Tioga,2258
13813,Nineveh,Broome,1368
13815,Norwich,Chenango,12901
13820,Oneonta,Otsego,22157
13825,Otego,Otsego,2888
13826,Ouaquaga,Broome,0
13827,Owego,Tioga,11538
13830,Oxford,Chenango,5119
13832,Plymouth,Chenango,563
13833,Port Crane,Broome,3890
13834,Portlandville,Otsego,279
13835,Richford,Tioga,1310
13838,Sidney,Delaware,3873
13839,Sidney Center,Delaware,1251
13841,Smithville Flats,Chenango,561
13842,South Kortright,Delaware,627
13843,South New Berlin,Chenango,2241
13844,South Plymouth,Chenango,674
13845,Tioga Center,Tioga,147
13846,Treadwell,Delaware,475
13847,Trout Creek,Delaware,58
13849,Unadilla,Otsego,4449
13850,Vestal,Broome,22392
13856,Walton,Delaware,5999
13859,Wells Bridge,Otsego,99
13860,West Davenport,Delaware,22
13861,West Oneonta,Otsego,379
13862,Whitney Point,Broome,4053
13863,Willet,Cortland,681
13864,Willseyville,Tioga,1181
13865,Windsor,Broome,6203
13901,Binghamton,Broome,18786
13902,Binghamton,Broome,6162
13903,Binghamton,Broome,17905
13904,Binghamton,Broome,9789
13905,Binghamton,Broome,26151
14001,Akron,Erie,9324
14004,Alden,Erie,12240
14005,Alexander,Genesee,2312
14006,Angola,Erie,9823
14008,Appleton,Niagara,1547
14009,Arcade,Wyoming,5625
14011,Attica,Wyoming,8864
14012,Barker,Niagara,2374
14013,Basom,Genesee,1680
14020,Batavia,Genesee,22060
14024,Bliss,Wyoming,1408
14025,Boston,Erie,3784
14026,Bowmansville,Erie,568
14028,Burt,Niagara,1571
14030,Chaffee,Erie,1882
14031,Clarence,Erie,10158
14032,Clarence Center,Erie,10084
14033,Colden,Erie,1344
14034,Collins,Erie,2428
14035,Collins Center,Erie,127
14036,Corfu,Genesee,5588
14037,Cowlesville,Wyoming,897
14039,Dale,Wyoming,57
14040,Darien Center,Genesee,1719
14041,Dayton,Cattaraugus,180
14042,Delevan,Cattaraugus,4359
14043,Depew,Erie,25058
14047,Derby,Erie,6525
14048,Dunkirk,Chautauqua,14414
14051,East Amherst,Erie,19178
14052,East Aurora,Erie,17664
14054,East Bethany,Genesee,1554
14055,East Concord,Erie,1337
14057,Eden,Erie,8192
14058,Elba,Genesee,2160
14059,Elma,Erie,10446
14060,Farmersville Station,Cattaraugus,478
14061,Farnham,Erie,345
14062,Forestville,Chautauqua,3331
14063,Fredonia,Chautauqua,13891
14065,Freedom,Cattaraugus,1705
14066,Gainesville,Wyoming,1188
14067,Gasport,Niagara,4971
14068,Getzville,Erie,7169
14069,Glenwood,Erie,642
14070,Gowanda,Cattaraugus,6958
14072,Grand Island,Erie,21287
14075,Hamburg,Erie,42958
14080,Holland,Erie,4323
14081,Irving,Chautauqua,2844
14082,Java Center,Wyoming,498
14085,Lake View,Erie,7605
14086,Lancaster,Erie,32653
14091,Lawtons,Erie,1422
14092,Lewiston,Niagara,10819
14094,Lockport,Niagara,49792
14098,Lyndonville,Orleans,3028
14101,Machias,Cattaraugus,1718
14102,Marilla,Erie,1367
14103,Medina,Orleans,10448
14105,Middleport,Niagara,4745
14108,Newfane,Niagara,5196
14109,Niagara University,Niagara,1089
14111,North Collins,Erie,3146
14112,North Evans,Erie,118
14113,North Java,Wyoming,488
14120,North Tonawanda,Niagara,43738
14125,Oakfield,Genesee,3514
14126,Olcott,Niagara,661
14127,Orchard Park,Erie,29964
14129,Perrysburg,Cattaraugus,1519
14130,Pike,Wyoming,231
14131,Ransomville,Niagara,5056
14132,Sanborn,Niagara,5999
14134,Sardinia,Erie,99
14135,Sheridan,Chautauqua,95
14136,Silver Creek,Chautauqua,4574
14138,South Dayton,Cattaraugus,1786
14139,South Wales,Erie,2020
14141,Springville,Erie,7534
14143,Stafford,Genesee,938
14145,Strykersville,Wyoming,1456
14150,Tonawanda,Erie,41144
14167,Varysburg,Wyoming,1788
14168,Versailles,Cattaraugus,29
14169,Wales Center,Erie,99
14170,West Falls,Erie,2350
14171,West Valley,Cattaraugus,2029
14172,Wilson,Niagara,2781
14173,Yorkshire,Cattaraugus,166
14174,Youngstown,Niagara,5843
14201,Buffalo,Erie,11192
14202,Buffalo,Erie,3749
14203,Buffalo,Erie,1819
14204,Buffalo,Erie,8003
14206,Buffalo,Erie,20064
14207,Buffalo,Erie,23773
14208,Buffalo,Erie,10346
14209,Buffalo,Erie,7807
14210,Buffalo,Erie,14148
14211,Buffalo,Erie,22206
14212,Buffalo,Erie,10973
14213,Buffalo,Erie,22132
14214,Buffalo,Erie,19754
14215,Buffalo,Erie,41340
14216,Buffalo,Erie,21464
14217,Buffalo,Erie,23017
14218,Buffalo,Erie,18935
14219,Buffalo,Erie,11391
14220,Buffalo,Erie,22641
14221,Buffalo,Erie,53727
14222,Buffalo,Erie,15103
14223,Buffalo,Erie,21734
14224,Buffalo,Erie,40903
14225,Buffalo,Erie,33360
14226,Buffalo,Erie,29920
14227,Buffalo,Erie,20540
14228,Buffalo,Erie,23406
14261,Buffalo,Erie,5557
14301,Niagara Falls,Niagara,11838
14302,Niagara Falls,Niagara,255
14303,Niagara Falls,Niagara,5652
14304,Niagara Falls,Niagara,29001
14305,Niagara Falls,Niagara,17026
14411,Albion,Orleans,13671
14414,Avon,Livingston,6797
14415,Bellona,Yates,124
14416,Bergen,Genesee,3611
14418,Branchport,Yates,932
14420,Brockport,Monroe,21124
14422,Byron,Genesee,2074
14423,Caledonia,Livingston,4479
14424,Canandaigua,Ontario,28055
14425,Farmington,Ontario,12230
14427,Castile,Wyoming,2073
14428,Churchville,Monroe,7278
14432,Clifton Springs,Ontario,5277
14433,Clyde,Wayne,3920
14435,Conesus,Livingston,2327
14437,Dansville,Livingston,11274
14441,Dresden,Yates,301
14445,East Rochester,Monroe,7761
14450,Fairport,Monroe,42513
14454,Geneseo,Livingston,11237
14456,Geneva,Ontario,19539
14462,Groveland,Livingston,718
14464,Hamlin,Monroe,7419
14466,Hemlock,Livingston,1526
14467,Henrietta,Monroe,9909
14468,Hilton,Monroe,17994
14469,Bloomfield,Ontario,5646
14470,Holley,Orleans,7331
14471,Honeoye,Ontario,2385
14472,Honeoye Falls,Monroe,9271
14475,Ionia,Ontario,287
14476,Kendall,Orleans,2270
14477,Kent,Orleans,1460
14478,Keuka Park,Yates,1577
14479,Knowlesville,Orleans,140
14480,Lakeville,Livingston,904
14481,Leicester,Livingston,1906
14482,Le Roy,Genesee,8230
14485,Lima,Livingston,3976
14486,Linwood,Genesee,462
14487,Livonia,Livingston,5997
14489,Lyons,Wayne,7065
14502,Macedon,Wayne,10551
14504,Manchester,Ontario,1593
14505,Marion,Wayne,5277
14506,Mendon,Monroe,939
14507,Middlesex,Yates,894
14510,Mount Morris,Livingston,4571
14511,Mumford,Monroe,399
14512,Naples,Ontario,4542
14513,Newark,Wayne,13749
14514,North Chili,Monroe,6293
14516,North Rose,Wayne,2338
14517,Nunda,Livingston,2846
14519,Ontario,Wayne,11537
14521,Ovid,Seneca,3077
14522,Palmyra,Wayne,9559
14525,Pavilion,Genesee,2524
14526,Penfield,Monroe,19001
14527,Penn Yan,Yates,12835
14529,Perkinsville,Steuben,12
14530,Perry,Wyoming,5500
14532,Phelps,Ontario,3998
14533,Piffard,Livingston,2254
14534,Pittsford,Monroe,31975
14536,Portageville,Wyoming,599
14537,Port Gibson,Ontario,160
14539,Retsof,Livingston,60
14541,Romulus,Seneca,4584
14542,Rose,Wayne,80
14543,Rush,Monroe,3145
14544,Rushville,Yates,2280
14545,Scottsburg,Livingston,227
14546,Scottsville,Monroe,4614
14548,Shortsville,Ontario,4132
14549,Silver Lake,Wyoming,65
14550,Silver Springs,Wyoming,1256
14551,Sodus,Wayne,5392
14555,Sodus Point,Wayne,1048
14559,Spencerport,Monroe,18584
14560,Springwater,Livingston,2320
14561,Stanley,Ontario,2815
14564,Victor,Ontario,15359
14568,Walworth,Wayne,6241
14569,Warsaw,Wyoming,5910
14571,Waterport,Orleans,1314
14572,Wayland,Steuben,5017
14580,Webster,Monroe,53593
14585,West Bloomfield,Ontario,50
14586,West Henrietta,Monroe,11848
14588,Willard,Seneca,191
14589,Williamson,Wayne,7502
14590,Wolcott,Wayne,5420
14591,Wyoming,Wyoming,1556
14592,York,Livingston,48
14604,Rochester,Monroe,2536
14605,Rochester,Monroe,11457
14606,Rochester,Monroe,27711
14607,Rochester,Monroe,16880
14608,Rochester,Monroe,11260
14609,Rochester,Monroe,40081
14610,Rochester,Monroe,13373
14611,Rochester,Monroe,17429
14612,Rochester,Monroe,34316
14613,Rochester,Monroe,15375
14614,Rochester,Monroe,1151
14615,Rochester,Monroe,16812
14616,Rochester,Monroe,26935
14617,Rochester,Monroe,21985
14618,Rochester,Monroe,23252
14619,Rochester,Monroe,13788
14620,Rochester,Monroe,23912
14621,Rochester,Monroe,33757
14622,Rochester,Monroe,12906
14623,Rochester,Monroe,24720
14624,Rochester,Monroe,37873
14625,Rochester,Monroe,10051
14626,Rochester,Monroe,29941
14627,Rochester,Monroe,2280
14701,Jamestown,Chautauqua,39214
14706,Allegany,Cattaraugus,6110
14707,Allentown,Allegany,90
14708,Alma,Allegany,239
14709,Angelica,Allegany,1421
14710,Ashville,Chautauqua,3244
14711,Belfast,Allegany,1874
14712,Bemus Point,Chautauqua,3051
14714,Black Creek,Allegany,604
14715,Bolivar,Allegany,2585
14716,Brocton,Chautauqua,2640
14717,Caneadea,Allegany,394
14718,Cassadaga,Chautauqua,1899
14719,Cattaraugus,Cattaraugus,3283
14720,Celoron,Chautauqua,749
14721,Ceres,Allegany,160
14722,Chautauqua,Chautauqua,214
14723,Cherry Creek,Chautauqua,1098
14724,Clymer,Chautauqua,2723
14726,Conewango Valley,Cattaraugus,1980
14727,Cuba,Allegany,5385
14728,Dewittville,Chautauqua,1056
14729,East Otto,Cattaraugus,990
14731,Ellicottville,Cattaraugus,1291
14732,Ellington,Chautauqua,180
14733,Falconer,Chautauqua,3655
14735,Fillmore,Allegany,2900
14736,Findley Lake,Chautauqua,188
14737,Franklinville,Cattaraugus,4272
14738,Frewsburg,Chautauqua,3319
14739,Friendship,Allegany,2421
14740,Gerry,Chautauqua,1032
14741,Great Valley,Cattaraugus,1796
14742,Greenhurst,Chautauqua,244
14743,Hinsdale,Cattaraugus,1938
14744,Houghton,Allegany,2103
14747,Kennedy,Chautauqua,2015
14748,Kill Buck,Cattaraugus,548
14750,Lakewood,Chautauqua,4277
14752,Lily Dale,Chautauqua,339
14753,Limestone,Cattaraugus,1182
14754,Little Genesee,Allegany,533
14755,Little Valley,Cattaraugus,3146
14756,Maple Springs,Chautauqua,28
14757,Mayville,Chautauqua,3371
14760,Olean,Cattaraugus,17567
14767,Panama,Chautauqua,2224
14769,Portland,Chautauqua,996
14770,Portville,Cattaraugus,2761
14772,Randolph,Cattaraugus,3995
14774,Richburg,Allegany,137
14775,Ripley,Chautauqua,2520
14777,Rushford,Allegany,673
14778,Saint Bonaventure,Cattaraugus,1349
14779,Salamanca,Cattaraugus,6537
14781,Sherman,Chautauqua,1782
14782,Sinclairville,Chautauqua,2272
14783,Steamburg,Cattaraugus,306
14784,Stockton,Chautauqua,938
14787,Westfield,Chautauqua,4759
14788,Westons Mills,Cattaraugus,28
14801,Addison,Steuben,5234
14802,Alfred,Allegany,4171
14803,Alfred Station,Allegany,782
14804,Almond,Allegany,1739
14805,Alpine,Schuyler,958
14806,Andover,Allegany,2060
14807,Arkport,Steuben,3070
14808,Atlanta,Steuben,514
14809,Avoca,Steuben,2676
14810,Bath,Steuben,11673
14812,Beaver Dams,Schuyler,3200
14813,Belmont,Allegany,2264
14814,Big Flats,Chemung,1883
14815,Bradford,Steuben,776
14816,Breesport,Chemung,544
14817,Brooktondale,Tompkins,2508
14818,Burdett,Schuyler,2029
14819,Cameron,Steuben,696
14820,Cameron Mills,Steuben,807
14821,Campbell,Steuben,3141
14822,Canaseraga,Allegany,947
14823,Canisteo,Steuben,3467
14824,Cayuta,Schuyler,639
14825,Chemung,Chemung,784
14826,Cohocton,Steuben,2271
14827,Coopers Plains,Steuben,146
14830,Corning,Steuben,19138
14836,Dalton,Livingston,931
14837,Dundee,Yates,5947
14838,Erin,Chemung,2039
14839,Greenwood,Steuben,881
14840,Hammondsport,Steuben,2730
14841,Hector,Schuyler,665
14842,Himrod,Yates,1111
14843,Hornell,Steuben,12447
14845,Horseheads,Chemung,20401
14846,Hunt,Livingston,966
14847,Interlaken,Seneca,2375
14850,Ithaca,Tompkins,64224
14853,Ithaca,Tompkins,2663
14854,Jacksonville,Tompkins,14
14855,Jasper,Steuben,785
14856,Kanona,Steuben,275
14858,Lindley,Steuben,1232
14859,Lockwood,Tioga,1076
14860,Lodi,Seneca,1132
14861,Lowman,Chemung,1153
14864,Millport,Chemung,961
14865,Montour Falls,Schuyler,2784
14867,Newfield,Tompkins,5431
14869,Odessa,Schuyler,1276
14870,Painted Post,Steuben,10202
14871,Pine City,Chemung,5081
14872,Pine Valley,Chemung,547
14873,Prattsburgh,Steuben,2328
14874,Pulteney,Steuben,260
14877,Rexville,Steuben,583
14878,Rock Stream,Yates,536
14879,Savona,Steuben,2257
14880,Scio,Allegany,1847
14881,Slaterville Springs,Tompkins,151
14882,Lansing,Tompkins,3998
14883,Spencer,Tioga,4808
14884,Swain,Allegany,284
14885,Troupsburg,Steuben,742
14886,Trumansburg,Tompkins,6490
14889,Van Etten,Chemung,1580
14891,Watkins Glen,Schuyler,4536
14892,Waverly,Tioga,7748
14893,Wayne,Schuyler,0
14894,Wellsburg,Chemung,1051
14895,Wellsville,Allegany,8957
14897,Whitesville,Allegany,772
14898,Woodhull,Steuben,1772
14901,Elmira,Chemung,15581
14903,Elmira,Chemung,7186
14904,Elmira,Chemung,15109
14905,Elmira,Chemung,8330
